skill,count,avg_price,med_price,max_price,min_price,created_at
AWS,2647,79.1,80,170,36,20201121
AWS,2655,79.1,80,170,36,20201122
AWS,2656,79.1,80,170,36,20201123
AWS,2656,79.1,80,170,36,20201124
AWS,2656,79.1,80,170,36,20201125
AWS,2657,79.1,80,170,36,20201126
AWS,2658,79.1,80,170,36,20201127
AWS,2660,79.1,80,170,36,20201128
AWS,2666,79.1,80,170,36,20201129
AWS,2667,79.1,80,170,36,20201130
AWS,2674,78.2,75,170,30,20201202
AWS,2679,78.2,75,170,30,20201203
AWS,2679,78.2,75,170,30,20201204
AWS,2683,78.2,75,170,30,20201205
AWS,2696,78.2,75,170,30,20201206
AWS,2696,78.2,75,170,30,20201207
AWS,2696,78.2,75,170,30,20201208
AWS,2699,78.2,75,170,30,20201209
AWS,2703,78.2,75,170,30,20201210
AWS,2706,78.2,75,170,30,20201211
AWS,2709,78.2,75,170,30,20201212
